namesurname,surname,firstname,name,id,alternativename,province,politicalparty,Column
"Ζειμπεκ, ΧουσεινΧουσεΐν Ζεϊμπέκ",Ζειμπεκ, Χουσειν,Χουσεΐν Ζεϊμπέκ,80,,ΞΑΝΘΗΣ,syriza,
"Ζερδελης, ΙωαννηςΙωάννης Ζερδελής",Ζερδελης, Ιωαννης,Ιωάννης Ζερδελής,81,,ΛΕΣΒΟΥ,syriza,
"Ζησιμοπουλος, ΠολυβιοςΠολύβιος Ζησιμόπουλος *(fr)*",Ζησιμοπουλος, Πολυβιος,Πολύβιος Ζησιμόπουλος ,82,,Β' ΘΕΣΣΑΛΟΝΙΚΗΣ,xa,
"Ηλιοπουλος, ΠαναγιωτηςΠαναγιώτης Ηλιόπουλος *(fr)*",Ηλιοπουλος, Παναγιωτης,Παναγιώτης Ηλιόπουλος ,83,,ΜΑΓΝΗΣΙΑΣ,xa,
"Θεοπεφτατου, ΑφροδιτηΑφροδίτη Θεοπεφτάτου",Θεοπεφτατου, Αφροδιτη,Αφροδίτη Θεοπεφτάτου,84,,ΚΕΦΑΛΛΗΝΙΑΣ,syriza,
"Ιατριδη, ΤσαμπικαΤσαμπίκα Ιατρίδη (Μίκα)",Ιατριδη, Τσαμπικα,Τσαμπίκα Ιατρίδη ,85,Μίκα Ιατριδη,ΔΩΔΕΚΑΝΗΣΟΥ,anel,
"Ιγγλεζη, ΑικατερινηΑικατερίνη Ιγγλέζη *(bg)*",Ιγγλεζη, Αικατερινη,Αικατερίνη Ιγγλέζη ,86,,ΧΑΛΚΙΔΙΚΗΣ,syriza,
"Ιωαννιδης, ΙωαννηςΙωάννης Ιωαννίδης",Ιωαννιδης, Ιωαννης,Ιωάννης Ιωαννίδης,87,,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,nd,
"Κακλαμανης, ΑποστολοςΑπόστολος Κακλαμάνης",Κακλαμανης, Αποστολος,Απόστολος Κακλαμάνης,88,,Β' ΑΘΗΝΩΝ,pasok,
"Κακλαμανης, ΝικηταςΝικήτας Κακλαμάνης",Κακλαμανης, Νικητας,Νικήτας Κακλαμάνης,89,,Α' ΑΘΗΝΩΝ,nd,
"Καλαντζης, ΓεωργιοςΓεώργιος Καλαντζής *(bg)*",Καλαντζης, Γεωργιος,Γεώργιος Καλαντζής ,90,,ΚΑΒΑΛΑΣ,nd,
"Καλαφατης, ΣταυροςΣταύρος Καλαφάτης",Καλαφατης, Σταυρος,Σταύρος Καλαφάτης,91,,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,nd,
"Καλογερη, ΑγνηΑγνή Καλογερή",Καλογερη, Αγνη,Αγνή Καλογερή,92,,ΣΑΜΟΥ,syriza,
"Καλογιαννης, ΣταυροςΣταύρος Καλογιάννης",Καλογιαννης, Σταυρος,Σταύρος Καλογιάννης,93,,ΙΩΑΝΝΙΝΩΝ,nd,
"Καμμενος, ΠαναγιωτηςΠάνος Καμμένος",Καμμενος, Παναγιωτης,Πάνος Καμμένος,94,,Β' ΑΘΗΝΩΝ,anel,
"Κανελλη, ΓαρυφαλλιαΓαρυφαλλιά Κανέλλη (Λιάνα)",Κανελλη, Γαρυφαλλια,Γαρυφαλλιά Κανέλλη ,95,Λιάνα Κανελλη,Α' ΑΘΗΝΩΝ,kke,
"Κανελλοπουλου, ΜαριαΜαρία Κανελλοπούλου",Κανελλοπουλου, Μαρια,Μαρία Κανελλοπούλου,96,,ΑΧΑΪΑΣ,syriza,
"Καπερναρος, ΒασιλειοςΒασίλειος Καπερνάρος",Καπερναρος, Βασιλειος,Βασίλειος Καπερνάρος,97,,Β' ΑΘΗΝΩΝ,anel,
"Καρα Γιουσουφ, ΑιχανΑϊχάν Καρά Γιουσούφ *(en)*",Καρα Γιουσουφ, Αιχαν,Αϊχάν Καρά Γιουσούφ ,98,,ΡΟΔΟΠΗΣ,syriza,
"Καραγιαννιδης, ΧρηστοςΧρήστος Καραγιαννίδης",Καραγιαννιδης, Χρηστος,Χρήστος Καραγιαννίδης,99,,ΔΡΑΜΑΣ,syriza,
"Καραγκουνης, ΚωνσταντινοςΚωνσταντίνος Καραγκούνης",Καραγκουνης, Κωνσταντινος,Κωνσταντίνος Καραγκούνης,100,,ΑΙΤΩΛΙΑΣ ΚΑΙ AΚΑΡΝΑΝΙΑΣ,nd,
"Καραθανασοπουλος, ΝικολαοςΝικόλαος Καραθανασόπουλος",Καραθανασοπουλος, Νικολαος,Νικόλαος Καραθανασόπουλος,101,,ΑΧΑΪΑΣ,kke,
"Καραμανλή, ΆνναΆννα Καραμανλή",Καραμανλή, Άννα,Άννα Καραμανλή,102,,Β' ΑΘΗΝΩΝ,nd,
"Καραμανλης, ΚωνσταντινοςΚωνσταντίνος Καραμανλής",Καραμανλης, Κωνσταντινος,Κωνσταντίνος Καραμανλής,103,,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,nd,
"Καραμπελας, ΙωαννηςΙωάννης Καράμπελας",Καραμπελας, Ιωαννης,Ιωάννης Καράμπελας,104,,ΒΟΙΩΤΙΑΣ,nd,
"Καρανασιος, ΕυθυμιοςΕυθύμιος Καρανάσιος",Καρανασιος, Ευθυμιος,Ευθύμιος Καρανάσιος,105,,ΧΑΛΚΙΔΙΚΗΣ,nd,
"Καραογλου, ΘεοδωροςΘεόδωρος Καράογλου",Καραογλου, Θεοδωρος,Θεόδωρος Καράογλου,106,,Β' ΘΕΣΣΑΛΟΝΙΚΗΣ,nd,
"Καρασμανης, ΓεωργιοςΓεώργιος Καρασμάνης *(bg)*",Καρασμανης, Γεωργιος,Γεώργιος Καρασμάνης ,107,,ΠΕΛΛΗΣ,nd,
"Κασαπιδης, ΓεωργιοςΓεώργιος Κασαπίδης *(bg)*",Κασαπιδης, Γεωργιος,Γεώργιος Κασαπίδης ,108,,ΚΟΖΑΝΗΣ,nd,
"Κασιδιαρης, ΗλιαςΗλίας Κασιδιάρης",Κασιδιαρης, Ηλιας,Ηλίας Κασιδιάρης,109,,ΑΤΤΙΚΗΣ,xa,
"Κασσης, ΜιχαηλΜιχαήλ Κασσής",Κασσης, Μιχαηλ,Μιχαήλ Κασσής,110,,ΙΩΑΝΝΙΝΩΝ,pasok,
"Κατριβανου, ΒασιλικηΒασιλική Κατριβάνου",Κατριβανου, Βασιλικη,Βασιλική Κατριβάνου,111,,Β' ΑΘΗΝΩΝ,syriza,
"Κατσαφαδος, ΚωνσταντινοςΚωνσταντίνος Κατσαφάδος",Κατσαφαδος, Κωνσταντινος,Κωνσταντίνος Κατσαφάδος,112,,Α' ΠΕΙΡΑΙΩΣ,nd,
"Κατσωτης, ΧρηστοςΧρήστος Κατσώτης",Κατσωτης, Χρηστος,Χρήστος Κατσώτης,113,,Β' ΑΘΗΝΩΝ,kke,
"Καφανταρη, ΧαρουλαΧαρούλα Καφαντάρη (Χαρά)",Καφανταρη, Χαρουλα,Χαρούλα Καφαντάρη ,114,Χαρά Καφανταρη,Β' ΑΘΗΝΩΝ,syriza,
"Κεγκερογλου, ΒασιλειοςΒασίλειος Κεγκέρογλου",Κεγκερογλου, Βασιλειος,Βασίλειος Κεγκέρογλου,115,,ΗΡΑΚΛΕΙΟΥ,pasok,
"Κεδικογλου, ΣίμοςΣυμεών Κεδίκογλου (Σίμος)",Κεδικογλου, Σίμος,Συμεών Κεδίκογλου ,116,Σίμος Κεδικογλου,ΕΥΒΟΙΑΣ,nd,
"Κεδικογλου, ΣυμεωνΣυμεών Κεδίκογλου",Κεδικογλου, Συμεων,Συμεών Κεδίκογλου,117,,ΕΥΒΟΙΑΣ,pasok,
"Κελλας, ΧρηστοςΧρήστος Κέλλας",Κελλας, Χρηστος,Χρήστος Κέλλας,118,,ΛΑΡΙΣΗΣ,nd,
"Κεφαλογιαννη, ΟλγαΌλγα Κεφαλογιάννη",Κεφαλογιαννη, Ολγα,Όλγα Κεφαλογιάννη,119,,Α' ΑΘΗΝΩΝ,nd,
"Κεφαλογιαννης, ΕμμανουηλΕμμανουήλ Κεφαλογιάννης",Κεφαλογιαννης, Εμμανουηλ,Εμμανουήλ Κεφαλογιάννης,120,,ΗΡΑΚΛΕΙΟΥ,nd,
"Κεφαλογιαννης, ΙωαννηςΙωάννης Κεφαλογιάννης",Κεφαλογιαννης, Ιωαννης,Ιωάννης Κεφαλογιάννης,121,,ΡΕΘΥΜΝΟΥ,nd,
"Κικιλιας, ΒασιλειοςΒασίλειος Κικίλιας *(en)*",Κικιλιας, Βασιλειος,Βασίλειος Κικίλιας ,122,,Α' ΑΘΗΝΩΝ,nd,
"Κλειτσιώτης, ΚωνσταντινοςΚωνσταντίνος Κλειτσιώτης",Κλειτσιώτης, Κωνσταντινος,Κωνσταντίνος Κλειτσιώτης,123,,ΚΑΒΑΛΑΣ,nd,
"Κοδελας, ΔημητριοςΔημήτριος Κοδέλας",Κοδελας, Δημητριος,Δημήτριος Κοδέλας,124,,ΑΡΓΟΛΙΔΟΣ,syriza,
"Κολλια-Τσαρουχα, ΜαριαΜαρία Κόλλια-Τσαρουχά",Κολλια-Τσαρουχα, Μαρια,Μαρία Κόλλια-Τσαρουχά,125,,ΣΕΡΡΩΝ,anel,
"Κολλιας, ΚωνσταντινοςΚώστας Κόλλιας",Κολλιας, Κωνσταντινος,Κώστας Κόλλιας,126,,ΚΟΡΙΝΘΙΑΣ,nd,
"Κονσολας, ΕμμανουηλΕμμανουήλ Κόνσολας",Κονσολας, Εμμανουηλ,Εμμανουήλ Κόνσολας,127,,ΔΩΔΕΚΑΝΗΣΟΥ,nd,
"Κοντογεωργος, ΚωνσταντινοςΚωνσταντίνος Κοντογεώργος",Κοντογεωργος, Κωνσταντινος,Κωνσταντίνος Κοντογεώργος,128,,ΕΥΡΥΤΑΝΙΑΣ,nd,
"Κοντογιαννης, ΓεωργιοςΓεώργιος Κοντογιάννης",Κοντογιαννης, Γεωργιος,Γεώργιος Κοντογιάννης,129,,ΗΛΕΙΑΣ,nd,
"Κοντονης, ΣταυροςΣταύρος Κοντονής",Κοντονης, Σταυρος,Σταύρος Κοντονής,130,,ΖΑΚΥΝΘΟΥ,syriza,
"Κοντος, ΑλεξανδροςΑλέξανδρος Κοντός",Κοντος, Αλεξανδρος,Αλέξανδρος Κοντός,131,,ΞΑΝΘΗΣ,nd,
"Κουβελης, Φωτιος-ΦανουριοςΦώτιος-Φανούριος Κουβέλης",Κουβελης, Φωτιος-Φανουριος,Φώτιος-Φανούριος Κουβέλης,132,,Β' ΑΘΗΝΩΝ,dimar,
"Κουζηλος, ΝικολαοςΝικόλαος Κούζηλος *(fr)*",Κουζηλος, Νικολαος,Νικόλαος Κούζηλος ,133,,Α' ΠΕΙΡΑΙΩΣ,xa,
"Κουικ, Τερενς-Σπενσερ-ΝικολαοςΤέρενς-Σπένσερ-Νικόλαος Κουίκ",Κουικ, Τερενς-Σπενσερ-Νικολαος,Τέρενς-Σπένσερ-Νικόλαος Κουίκ,134,,ΕΠΙΚΡΑΤΕΙΑΣ,anel,
"Κουκοδημος, ΚωνσταντινοςΚωνσταντίνος Κουκοδήμος",Κουκοδημος, Κωνσταντινος,Κωνσταντίνος Κουκοδήμος,135,,ΠΙΕΡΙΑΣ,nd,
"Κουκουλοπουλος, ΠαρασκευαςΠαρασκευάς Κουκουλόπουλος (Πάρις)",Κουκουλοπουλος, Παρασκευας,Παρασκευάς Κουκουλόπουλος ,136,Πάρις Κουκουλοπουλος,ΚΟΖΑΝΗΣ,pasok,
